,User,Date,Tweet Text,Compound,Positive,Neutral,Negative,Tweets Ago
30,@BBC,Mon Jul 23 12:02:03 +0000 2018,"Y'alright love? 🐦 

Meet Mourdour, the raven with a Yorkshire accent.... 

https://t.co/6K9eMeDh0k",0.6369,0.296,0.704,0.0,31
31,@BBC,Mon Jul 23 11:37:06 +0000 2018,RT @bbccomedy: The wonderful Victoria Wood talking sex. ❤️ https://t.co/uKdwA5f3T0,0.5719,0.27,0.73,0.0,32
32,@BBC,Mon Jul 23 11:36:58 +0000 2018,RT @bbccomedy: When it's not just work you're frustrated with... https://t.co/Qlv5gMgkGD,-0.5267,0.0,0.746,0.254,33
33,@BBC,Mon Jul 23 11:03:09 +0000 2018,When is a film so bad it's actually good? 🍿🤦‍♀️ https://t.co/zNWeEnZVQd https://t.co/F3rLExxpyR,-0.38,0.177,0.549,0.274,34
34,@BBC,Mon Jul 23 08:12:20 +0000 2018,"RT @bbcgetinspired: He came within minutes of losing his life in a horrific accident - but eight years on, he is about to represent Norther…",-0.6757,0.0,0.753,0.247,35
35,@BBC,Mon Jul 23 08:03:02 +0000 2018,"Ntando Mahlangu walked for the first time at the age of ten. 

By the time he was 14, he had a silver medal from Ri… https://t.co/JodVvKpqUw",0.4767,0.114,0.886,0.0,36
36,@BBC,Mon Jul 23 07:32:03 +0000 2018,"The UK government says air pollution is the fourth biggest threat to public health. 🤧💨

Here's what you can do to i… https://t.co/SVbU4D7961",-0.5267,0.0,0.866,0.134,37
37,@BBC,Mon Jul 23 07:03:07 +0000 2018,"✈️🎒 This is what happens to your suitcase after you've checked-in at an airport... 

https://t.co/SZZKKm6ONf",0.0,0.0,1.0,0.0,38
38,@BBC,Sun Jul 22 19:02:05 +0000 2018,❤️ The catwalk show with a mission to prove everyone is beautiful. https://t.co/sGAR4YzNZT,0.5994,0.245,0.755,0.0,39
39,@BBC,Sun Jul 22 18:05:05 +0000 2018,"See some art
Dwell on your wrongs
Talk to strangers

Tackle the week ahead with a spot of elastic thinking. https://t.co/W3gtqBFnss",0.128,0.073,0.927,0.0,40
40,@BBC,Sun Jul 22 18:02:04 +0000 2018,"RT @bbcmusic: Happy Birthday @SelenaGomez! 🎂🎉

Which is your favourite SG single? (We are going old school Selena and vote 'Naturally' 💫) h…",0.6114,0.154,0.846,0.0,41
41,@BBC,Sun Jul 22 17:06:28 +0000 2018,RT @BBCCountryfile: What's your top tip for enjoying our countryside? Here's @EllieHarrison_ @AdamHenson @tomheapmedia and @SteveBrownGBWR…,0.6369,0.271,0.729,0.0,42
42,@BBC,Sun Jul 22 16:45:18 +0000 2018,RT @BBCNews: London Anniversary Games: Kare Adenegan &amp; Sophie Hahn set world records https://t.co/DW7CyMwS7r,0.0,0.0,1.0,0.0,43
43,@BBC,Sun Jul 22 16:04:04 +0000 2018,"❤️ The mother of a five-year-old boy who helped write his own obituary before he died of cancer says she is ""humble… https://t.co/k1R3Tq8KX5",-0.8402,0.0,0.724,0.276,44
44,@BBC,Sun Jul 22 15:04:05 +0000 2018,"Keeping it low key 😉

This man asked his partner to marry him with a GIANT beach mural. 🏖 
https://t.co/FrqoNA4HhG",-0.2732,0.0,0.909,0.091,45
45,@BBC,Sun Jul 22 14:08:06 +0000 2018,"😲🎨 Some of the most stunning photos from the 21st World Bodypainting Festival in Austria.
👉 https://t.co/2Z8On4ZuS3 https://t.co/YoAPvfk5cE",0.7264,0.243,0.757,0.0,46
46,@BBC,Sun Jul 22 13:06:02 +0000 2018,🐜🍞 Would you eat bread baked with insects instead of flour? https://t.co/zXYGP4MZjk,0.0,0.0,1.0,0.0,47
47,@BBC,Sun Jul 22 12:09:04 +0000 2018,"Positive reinforcement and indirect suggestions are a powerful way to influence our decision-making.

Here are eigh… https://t.co/CyoIKBRDfs",0.7506,0.314,0.686,0.0,48
48,@BBC,Sun Jul 22 11:02:05 +0000 2018,"The teenage activist helping families find low-cost healthy food. 
(via@BBCThree) https://t.co/aM3Esv544f",0.5994,0.353,0.647,0.0,49
49,@BBC,Sun Jul 22 10:04:05 +0000 2018,💕✍️ A story penned by a 10-year-old girl with autism has attracted praise from academics and others with the condit… https://t.co/oFp5UI36Ex,0.7506,0.274,0.726,0.0,50
50,@BBC,Sun Jul 22 08:19:58 +0000 2018,RT @BBCNewsbeat: Say hello to @NicoleAMaines who will play TV's first ever transgender superhero. https://t.co/QIIPLjRZBo https://t.co/FhUr…,0.34,0.138,0.862,0.0,51
51,@BBC,Sun Jul 22 08:03:01 +0000 2018,"🍞 Prehistoric bake-off: Scientists have discovered the earliest known evidence of bread-making, from a 14,000-year-… https://t.co/rt2YVZY1zW",0.0,0.0,1.0,0.0,52
52,@BBC,Sun Jul 22 07:03:00 +0000 2018,"Do you have a reusable water bottle?
#PlasticsAction https://t.co/XTlzV0IEGB",0.0,0.0,1.0,0.0,53
53,@BBC,Sat Jul 21 20:21:08 +0000 2018,"🎬🍿 A business trip leads to a chance encounter...

Pretty Woman | 10:20pm | @BBCOne | https://t.co/vCrrzh7bN7 https://t.co/KS0CZCwcDx",0.6369,0.321,0.679,0.0,54
54,@BBC,Sat Jul 21 19:31:05 +0000 2018,"The ruins of a Cumbrian village have been exposed by the UK drought. 🌡

https://t.co/zCaOtOFM74",-0.4939,0.0,0.741,0.259,55
55,@BBC,Sat Jul 21 18:02:06 +0000 2018,"😂 @RomeshRanga really REALLY can't stand Gogglebox. #LiveAtTheApollo

https://t.co/IMrhnETAg7",0.4404,0.228,0.659,0.114,56
56,@BBC,Sat Jul 21 17:05:05 +0000 2018,"How being drawn naked helped these women reclaim their bodies. 
(via @BBCThree) https://t.co/h22GymBo6O",0.0,0.0,1.0,0.0,57
57,@BBC,Sat Jul 21 16:04:04 +0000 2018,Was the 😊the first emoticon? https://t.co/3eZwRPDqbJ,0.0,0.0,1.0,0.0,58
58,@BBC,Sat Jul 21 15:04:19 +0000 2018,RT @BBCR1: From @ShawnMendes and @NiallOfficial to @DUALIPA and @ArianaGrande; 10 massive pop collabs we NEED to hear right now 👉 https://t…,0.0,0.0,1.0,0.0,59
59,@BBC,Sat Jul 21 15:04:02 +0000 2018,👰🎊🤵 @reallorraine and @robbeckettcomic host as two couples play for dream prizes and a chance to get married in fro… https://t.co/JOaddKsXdr,0.8126,0.37,0.63,0.0,60
60,@BBC,Sat Jul 21 14:03:06 +0000 2018,A huge iceberg is looming over a village in Greenland. https://t.co/sDLtIq41Fj,0.2023,0.213,0.648,0.139,61
61,@BBC,Sat Jul 21 13:03:08 +0000 2018,"Would you consider becoming a hedgehog foster parent? 🦔 💕

https://t.co/qTzxBdTy1B",0.0,0.0,1.0,0.0,62
62,@BBC,Sat Jul 21 12:03:05 +0000 2018,"Maths, science, history and... death? 🎒📚🤔

Death could be added to the school timetable in Australia. 👉… https://t.co/l6jEPAaK64",-0.8316,0.0,0.672,0.328,63
63,@BBC,Sat Jul 21 11:16:04 +0000 2018,"🏃🏃‍♀️ @GabbyLogan presents live coverage from the first day of the #AnniversaryGames at the London Stadium.

Athlet… https://t.co/KD8QAeSMnA",0.0,0.0,1.0,0.0,64
64,@BBC,Sat Jul 21 10:10:07 +0000 2018,🏃This 88-year-old runner has celebrated his 200th Parkrun in Manchester. https://t.co/9yG6L3bCye,0.5719,0.27,0.73,0.0,65
65,@BBC,Sat Jul 21 09:03:03 +0000 2018,"Amazing innovation 💡
A family in France has become the first to move in to a 3D-printed house. https://t.co/FYDtNW19PL",0.7506,0.286,0.714,0.0,66
66,@BBC,Sat Jul 21 09:02:04 +0000 2018,🇱🇰 The Sri Lankan schoolgirl turned inventor trying to save the planet one lunchbox at a time. https://t.co/RZlJolph79,0.4939,0.158,0.842,0.0,67
